epoch,loss,val_accuracy,val_macro_f1,val_weighted_f1,test_accuracy,test_macro_f1,test_weighted_f1
1,1.61915123462677,0.21212121212121213,0.06999999999999999,0.07424242424242423,0.24242424242424243,0.07804878048780488,0.09460458240946046
2,1.5948095321655273,0.21212121212121213,0.06999999999999999,0.07424242424242423,0.24242424242424243,0.07804878048780488,0.09460458240946046
3,1.625374674797058,0.21212121212121213,0.06999999999999999,0.07424242424242423,0.24242424242424243,0.07804878048780488,0.09460458240946046
4,1.6007764339447021,0.21212121212121213,0.06999999999999999,0.07424242424242423,0.24242424242424243,0.07804878048780488,0.09460458240946046
5,1.6063021421432495,0.21212121212121213,0.06999999999999999,0.07424242424242423,0.24242424242424243,0.07804878048780488,0.09460458240946046
6,1.5932692289352417,0.21212121212121213,0.06999999999999999,0.07424242424242423,0.24242424242424243,0.07804878048780488,0.09460458240946046
7,1.5930547714233398,0.24242424242424243,0.12893772893772892,0.1280941280941281,0.2727272727272727,0.13,0.15
8,1.5699753761291504,0.42424242424242425,0.36346524064171126,0.35794522767784803,0.48484848484848486,0.36372549019607847,0.3928995840760547
9,1.5617330074310303,0.3939393939393939,0.29333333333333333,0.2808080808080808,0.3939393939393939,0.2923076923076923,0.32400932400932403
10,1.5387701988220215,0.3939393939393939,0.26946386946386947,0.2578229850957124,0.45454545454545453,0.2853448275862069,0.3193573667711599
11,1.5246995687484741,0.36363636363636365,0.3049161364950839,0.2954238743712428,0.3333333333333333,0.2685384615384615,0.2892890442890443
12,1.4892539978027344,0.36363636363636365,0.27272727272727276,0.25895316804407714,0.3333333333333333,0.2533333333333333,0.2606060606060606
13,1.4720735549926758,0.36363636363636365,0.27272727272727276,0.25895316804407714,0.3939393939393939,0.275,0.2803030303030303
14,1.4313440322875977,0.36363636363636365,0.27272727272727276,0.25895316804407714,0.3939393939393939,0.275,0.2803030303030303
15,1.3951793909072876,0.3939393939393939,0.30647918389853873,0.29708165192036157,0.3333333333333333,0.24,0.24646464646464644
16,1.3725796937942505,0.42424242424242425,0.3509236283429832,0.3442196990584087,0.3333333333333333,0.23017241379310346,0.23576280041797282
17,1.3303850889205933,0.36363636363636365,0.2573426573426573,0.24496715405806313,0.3333333333333333,0.2533333333333333,0.2606060606060606
18,1.3122315406799316,0.36363636363636365,0.2573426573426573,0.24496715405806313,0.3333333333333333,0.2533333333333333,0.2606060606060606
19,1.2611099481582642,0.36363636363636365,0.2573426573426573,0.24496715405806313,0.3333333333333333,0.22833333333333333,0.23409090909090907
20,1.2556730508804321,0.45454545454545453,0.3644133644133644,0.3585269948906312,0.30303030303030304,0.23282051282051283,0.23993783993783996
21,1.2448917627334595,0.42424242424242425,0.34623154623154623,0.3392432483341574,0.48484848484848486,0.36708624708624704,0.37831461467825106
22,1.2188606262207031,0.3939393939393939,0.30549450549450546,0.29603729603729606,0.5151515151515151,0.4065018315018315,0.4325813075813076
23,1.211669683456421,0.48484848484848486,0.38663558663558667,0.38209601845965485,0.5151515151515151,0.3727142857142857,0.4082900432900433
24,1.1961699724197388,0.3939393939393939,0.318974358974359,0.308003108003108,0.48484848484848486,0.36084656084656086,0.39137405804072467
25,1.2019925117492676,0.3939393939393939,0.31746031746031744,0.3063973063973064,0.48484848484848486,0.36084656084656086,0.39137405804072467
26,1.1813535690307617,0.3939393939393939,0.318974358974359,0.308003108003108,0.48484848484848486,0.36084656084656086,0.39137405804072467
27,1.1881494522094727,0.42424242424242425,0.35523809523809524,0.3464646464646464,0.48484848484848486,0.361025641025641,0.390986790986791
28,1.1665804386138916,0.45454545454545453,0.40734265734265734,0.40405806314897225,0.5454545454545454,0.4498701298701298,0.4747737111373475
29,1.1376324892044067,0.48484848484848486,0.43154520917678807,0.42972743630638366,0.5454545454545454,0.45845864661654134,0.4797505126452495
30,1.146501064300537,0.48484848484848486,0.4428571428571429,0.4393939393939394,0.5454545454545454,0.4431111111111111,0.46154882154882154
31,1.1329766511917114,0.48484848484848486,0.4065934065934066,0.4009324009324009,0.5151515151515151,0.42370370370370375,0.44332210998877664
32,1.124335527420044,0.48484848484848486,0.39897435897435896,0.3928515928515929,0.5151515151515151,0.42370370370370375,0.44332210998877664
33,1.1186457872390747,0.48484848484848486,0.4261587301587301,0.42168350168350166,0.5151515151515151,0.3943589743589744,0.4031080031080031
34,1.1460951566696167,0.45454545454545453,0.3684537684537684,0.362812271903181,0.5151515151515151,0.40417171717171724,0.42438169574533213
35,1.1179888248443604,0.48484848484848486,0.3989010989010989,0.3951048951048951,0.5757575757575758,0.461002886002886,0.4783604442695352
36,1.1333136558532715,0.42424242424242425,0.37230769230769234,0.3645687645687646,0.5454545454545454,0.45925925925925926,0.48574635241301906
37,1.103044033050537,0.42424242424242425,0.3696581196581197,0.36175861175861174,0.5454545454545454,0.47037037037037044,0.4938271604938272
38,1.0968995094299316,0.42424242424242425,0.346,0.33666666666666667,0.5151515151515151,0.413040293040293,0.43873903873903874
39,1.0817930698394775,0.45454545454545453,0.3658119658119658,0.36001036001036,0.6060606060606061,0.5089393939393939,0.5407943067033976
40,1.0968272686004639,0.42424242424242425,0.336996336996337,0.32944832944832947,0.5151515151515151,0.3813157894736842,0.4165470494417863
41,1.1322301626205444,0.42424242424242425,0.346,0.33666666666666667,0.48484848484848486,0.361025641025641,0.390986790986791
42,1.1086702346801758,0.3939393939393939,0.3164835164835165,0.30536130536130535,0.42424242424242425,0.29655172413793107,0.3145245559038663
43,1.1131447553634644,0.3939393939393939,0.3164835164835165,0.30536130536130535,0.45454545454545453,0.33076923076923076,0.35547785547785543
44,1.1106915473937988,0.42424242424242425,0.346,0.33666666666666667,0.48484848484848486,0.361025641025641,0.390986790986791
45,1.1054795980453491,0.45454545454545453,0.4023809523809524,0.3964646464646464,0.5454545454545454,0.4596491228070175,0.4903926482873851
46,1.0811318159103394,0.42424242424242425,0.32211538461538464,0.3136655011655012,0.5757575757575758,0.47817460317460314,0.5093193843193844
47,1.1061519384384155,0.42424242424242425,0.3249379652605459,0.3166591473043086,0.6363636363636364,0.5435314685314686,0.5799692731510913
48,1.0792368650436401,0.48484848484848486,0.4311965811965813,0.427026677026677,0.6363636363636364,0.5607843137254902,0.5888294711824124
49,1.070820689201355,0.45454545454545453,0.41,0.40454545454545454,0.5757575757575758,0.5076923076923077,0.5283605283605284
50,1.0719976425170898,0.48484848484848486,0.44222222222222224,0.43872053872053873,0.5757575757575758,0.5076923076923077,0.5283605283605284
