timestamp,action,confidence,fps
1778651058.2059853,squat,0.5586,0
1778651058.3077266,squat,0.5585,0
1778651058.4119911,squat,0.5572,0
1778651058.5003636,squat,0.5557,0
1778651058.5890558,squat,0.5541,0
1778651058.677682,squat,0.5525,0
1778651058.767313,squat,0.5503,0
1778651058.8592298,squat,0.548,0
1778651058.9436643,squat,0.5452,0
1778651059.0390425,squat,0.5426,0
1778651059.1235592,squat,0.5414,0
1778651059.2137008,squat,0.538,0
1778651059.3086512,squat,0.535,0
1778651059.3980129,squat,0.5308,0
1778651059.4904559,squat,0.5288,0
1778651059.5749967,squat,0.5272,0
1778651059.6712468,squat,0.5274,0
1778651059.7593791,squat,0.5291,0
1778651059.8503466,squat,0.5304,0
1778651059.940312,squat,0.528,0
1778651060.0277276,squat,0.5274,0
1778651060.125792,squat,0.5254,0
1778651060.220626,squat,0.5265,0
1778651060.316727,squat,0.5251,0
1778651060.4116158,squat,0.5274,0
1778651060.5025597,squat,0.5276,0
1778651060.5938368,squat,0.5286,0
1778651060.6908336,squat,0.5284,0
1778651060.7827518,squat,0.5295,0
1778651060.8698776,squat,0.5291,0
1778651060.9656725,squat,0.5309,0
1778651061.060456,squat,0.5313,0
1778651061.1472156,squat,0.5337,0
1778651061.2355053,squat,0.5352,0
1778651061.334843,squat,0.5389,0
1778651061.4252892,squat,0.5415,0
1778651061.514753,squat,0.5463,0
1778651061.6001453,squat,0.549,0
1778651061.6959305,squat,0.5522,0
1778651061.8155038,squat,0.5554,0
1778651061.9437766,squat,0.5594,0
1778651062.0785282,squat,0.5627,0
1778651062.1886022,squat,0.5652,0
1778651062.340501,squat,0.5663,0
1778651062.4459698,squat,0.5674,0
1778651062.5434632,squat,0.5672,0
1778651062.7192996,squat,0.5674,0
1778651062.866607,squat,0.5704,0
1778651063.0259125,squat,0.5739,0
1778651063.1613052,squat,0.576,0
1778651063.3282137,squat,0.5771,0
1778651063.4947643,squat,0.578,0
1778651063.6579795,squat,0.5777,0
1778651063.8247404,squat,0.5784,0
1778651064.026375,squat,0.5788,0
1778651064.2187147,squat,0.5797,0
1778651064.3509786,squat,0.5802,0
1778651064.483805,squat,0.5801,0
1778651064.613763,squat,0.5798,0
1778651064.7497807,squat,0.5793,0
1778651064.8787029,squat,0.5787,0
1778651065.0096989,squat,0.5781,0
1778651065.139206,squat,0.5778,0
1778651065.2671013,squat,0.5771,0
1778651065.3998294,squat,0.5765,0
1778651065.4737039,squat,0.576,0
1778651065.544565,squat,0.5757,0
1778651065.6008039,squat,0.5756,0
1778651065.665169,squat,0.5755,0
1778651065.7233186,squat,0.5755,0
1778651065.7865024,squat,0.5757,0
1778651065.8435528,squat,0.5757,0
1778651065.9042642,squat,0.5755,0
1778651065.9760637,squat,0.5752,0
1778651066.0740242,squat,0.575,0
1778651066.1686783,squat,0.5748,0
1778651066.2615554,squat,0.5748,0
1778651066.353579,squat,0.5748,0
