time,mode,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32
2.6435,side_lunge,0.4980778098106384,0.11903258413076401,-1.6232792139053345,0.5291264057159424,-0.021915409713983536,-1.6572415828704834,0.5572828054428101,-0.02675275318324566,-1.657130479812622,0.5865249037742615,-0.029847942292690277,-1.657596230506897,0.4656948149204254,-0.013590228743851185,-1.6111955642700195,0.44636601209640503,-0.013955386355519295,-1.6114470958709717,0.4267105162143707,-0.015945689752697945,-1.6125001907348633,0.6442915201187134,-0.07232286781072617,-1.387780785560608,0.4272683262825012,-0.06963133066892624,-1.153396487236023,0.5516082644462585,0.19499774277210236,-1.4810669422149658,0.4831508696079254,0.1899363398551941,-1.4156752824783325,0.8549923896789551,0.21381734311580658,-0.9418635368347168,0.3284825384616852,0.2714167535305023,-0.6418035626411438,0.974052906036377,1.0481207370758057,-0.8626311421394348,0.20082783699035645,0.9337599277496338,-0.3835105299949646,0.5563807487487793,1.0550198554992676,-1.001793622970581,0.18029074370861053,1.3910826444625854,-0.7676618099212646,0.42906373739242554,1.0748430490493774,-1.07210111618042,0.1648227423429489,1.5598818063735962,-0.8658488988876343,0.4068039357662201,0.9431612491607666,-1.0174049139022827,0.18773292005062103,1.488445520401001,-0.9400240182876587,0.4413960576057434,0.9171699285507202,-0.9753262400627136,0.20425863564014435,1.4190462827682495,-0.8098093867301941,0.7770146131515503,1.3800501823425293,-0.07206971198320389,0.4322900176048279,1.3566300868988037,0.0751614049077034,0.7677368521690369,2.366276264190674,-0.2523345351219177,0.38288378715515137,2.3844094276428223,-0.14343920350074768,0.7029455900192261,3.2839372158050537,0.4527372419834137,0.4111735224723816,3.349163055419922,0.2207970917224884,0.7042077779769897,3.4124298095703125,0.4997827410697937,0.42561984062194824,3.4829561710357666,0.23307733237743378,0.6306977868080139,3.637378692626953,-0.12763814628124237,0.4372653067111969,3.699110269546509,-0.4826088845729828
2.7912,side_lunge,0.4968159794807434,0.11832769960165024,-1.6450984477996826,0.5278068780899048,-0.024418773129582405,-1.6789820194244385,0.5564330220222473,-0.03046642616391182,-1.6788244247436523,0.5860975384712219,-0.034226782619953156,-1.6792564392089844,0.46399325132369995,-0.014022682793438435,-1.6316776275634766,0.4445999264717102,-0.014221055433154106,-1.6319643259048462,0.42499762773513794,-0.015934132039546967,-1.6330451965332031,0.6441662907600403,-0.07583103328943253,-1.4065163135528564,0.42831411957740784,-0.07441894710063934,-1.171851396560669,0.5509609580039978,0.19424836337566376,-1.5040115118026733,0.48051387071609497,0.18940187990665436,-1.4371387958526611,0.8556405305862427,0.21485503017902374,-0.9623146057128906,0.3274185061454773,0.2694075405597687,-0.6539246439933777,0.9736067056655884,1.0731472969055176,-0.9326683282852173,0.19979359209537506,0.9330763816833496,-0.40302571654319763,0.5596237778663635,1.0561671257019043,-1.1041889190673828,0.17142675817012787,1.4238297939300537,-0.7934762239456177,0.4284077286720276,1.0696327686309814,-1.1802403926849365,0.1499444544315338,1.604425072669983,-0.8931804895401001,0.4064290523529053,0.937253475189209,-1.11673903465271,0.17432810366153717,1.5422724485397339,-0.9745915532112122,0.4447641372680664,0.9151421189308167,-1.0747802257537842,0.193960040807724,1.4679758548736572,-0.8390790224075317,0.7778769731521606,1.4015299081802368,-0.06980873644351959,0.4290548264980316,1.3829180002212524,0.07298737019300461,0.7491990923881531,2.4263839721679688,-0.2733687162399292,0.3877447545528412,2.419301748275757,-0.20130757987499237,0.6993178725242615,3.3544681072235107,0.3873036205768585,0.39815637469291687,3.3958449363708496,0.1330314576625824,0.7037449479103088,3.486708164215088,0.4317406117916107,0.40597018599510193,3.535994529724121,0.1442461907863617,0.6268424391746521,3.699775218963623,-0.1949211061000824,0.4325559139251709,3.7385191917419434,-0.5629030466079712
2.8913,side_lunge,0.49675828218460083,0.11646714806556702,-1.5614466667175293,0.527930498123169,-0.025801880285143852,-1.5930489301681519,0.5566114783287048,-0.0319223627448082,-1.592810034751892,0.5862289667129517,-0.03547153249382973,-1.5932841300964355,0.46393531560897827,-0.015286432579159737,-1.5502842664718628,0.44441190361976624,-0.015957798808813095,-1.5505013465881348,0.42464786767959595,-0.018194735050201416,-1.5515830516815186,0.6442419290542603,-0.07709971815347672,-1.336059808731079,0.4287666380405426,-0.08009278029203415,-1.1174136400222778,0.5508539080619812,0.19285272061824799,-1.4257984161376953,0.47970834374427795,0.1872052103281021,-1.3645555973052979,0.8550491333007812,0.2130783498287201,-0.9267797470092773,0.3267654478549957,0.264914333820343,-0.6555906534194946,0.9759348630905151,1.0688230991363525,-0.9144909977912903,0.1997067779302597,0.9338542222976685,-0.4212585985660553,0.5590804815292358,1.056190013885498,-1.0451595783233643,0.16803213953971863,1.5043034553527832,-0.7668447494506836,0.42851123213768005,1.0667519569396973,-1.1124703884124756,0.1404796689748764,1.7062844038009644,-0.8598043322563171,0.4059165418148041,0.9356767535209656,-1.0437504053115845,0.17109310626983643,1.6699563264846802,-0.9400395154953003,0.438967764377594,0.9142841696739197,-1.0129271745681763,0.19078852236270905,1.5854275226593018,-0.8114800453186035,0.7793998718261719,1.4018521308898926,-0.06158004328608513,0.428131639957428,1.3890774250030518,0.06525208055973053,0.754265308380127,2.4086878299713135,-0.2632670998573303,0.39655616879463196,2.4126739501953125,-0.24677114188671112,0.7088479399681091,3.340158462524414,0.365242063999176,0.4027426242828369,3.39689564704895,0.06911299377679825,0.7131336331367493,3.4729700088500977,0.4178323745727539,0.40919214487075806,3.538768768310547,0.0644444078207016,0.6362349390983582,3.6949822902679443,-0.22183620929718018,0.4436795711517334,3.7443037033081055,-0.6376850008964539
2.9914,side_lunge,0.49661269783973694,0.11514084786176682,-1.4844111204147339,0.5278931856155396,-0.028455231338739395,-1.515578269958496,0.5565974116325378,-0.03513682633638382,-1.5153510570526123,0.5864707231521606,-0.0389428436756134,-1.5157837867736816,0.4639405310153961,-0.017023731023073196,-1.4730843305587769,0.4443684220314026,-0.017850954085588455,-1.4732167720794678,0.4244784414768219,-0.02058950439095497,-1.4743071794509888,0.6446521282196045,-0.08023209124803543,-1.2550915479660034,0.4287160336971283,-0.08725449442863464,-1.0359550714492798,0.5507253408432007,0.19203440845012665,-1.3471392393112183,0.4790658950805664,0.18636448681354523,-1.2861076593399048,0.8546602129936218,0.2129080444574356,-0.85850590467453,0.32570022344589233,0.26151084899902344,-0.5827401876449585,0.977516770362854,1.082021713256836,-0.8549772500991821,0.19942811131477356,0.9316843748092651,-0.348989337682724,0.5587611794471741,1.0581152439117432,-0.99505215883255,0.16232454776763916,1.5035452842712402,-0.7121332883834839,0.42863067984580994,1.0637648105621338,-1.0645372867584229,0.12814867496490479,1.702787160873413,-0.806658148765564,0.4057960510253906,0.9346972107887268,-0.991977870464325,0.1621803343296051,1.6639882326126099,-0.89154052734375,0.43809014558792114,0.914035975933075,-0.9623538851737976,0.1851530373096466,1.5819941759109497,-0.760012149810791,0.7793333530426025,1.4143449068069458,-0.06276591122150421,0.4244346022605896,1.4019858837127686,0.0664314478635788,0.7445691823959351,2.4418158531188965,-0.22588329017162323,0.39557766914367676,2.4339993000030518,-0.20573869347572327,0.7058153748512268,3.3828086853027344,0.3750940263271332,0.39533162117004395,3.422462224960327,0.10278593003749847,0.7127363681793213,3.5178494453430176,0.4177286624908447,0.40090522170066833,3.561978578567505,0.08916832506656647,0.6315099000930786,3.7265336513519287,-0.23669874668121338,0.43628033995628357,3.7705159187316895,-0.6484655737876892
3.1416,side_lunge,0.49605244398117065,0.10900164395570755,-1.6280651092529297,0.5280794501304626,-0.036896511912345886,-1.6582062244415283,0.5573950409889221,-0.04470311105251312,-1.657912015914917,0.5878450274467468,-0.04881277680397034,-1.6583601236343384,0.46387776732444763,-0.026773877441883087,-1.6138826608657837,0.44427362084388733,-0.029573943465948105,-1.614086389541626,0.42431673407554626,-0.034704599529504776,-1.6151151657104492,0.6452333331108093,-0.08701642602682114,-1.3845126628875732,0.42903128266334534,-0.10977005213499069,-1.1536550521850586,0.5500217080116272,0.18428164720535278,-1.4841898679733276,0.47797074913978577,0.17615163326263428,-1.4197152853012085,0.8543727993965149,0.21353702247142792,-0.962498664855957,0.3248733580112457,0.2576664984226227,-0.6751494407653809,0.9792587161064148,0.9822224974632263,-0.9628044962882996,0.19958408176898956,0.93487948179245,-0.3769519627094269,0.5719308853149414,1.063683032989502,-1.1153736114501953,0.1518487185239792,1.5538969039916992,-0.7501527070999146,0.4300599992275238,1.0653367042541504,-1.1860523223876953,0.11094699800014496,1.7565687894821167,-0.8429334759712219,0.40677252411842346,0.9355827569961548,-1.109673261642456,0.14829835295677185,1.7272982597351074,-0.9340957403182983,0.44313129782676697,0.9155411720275879,-1.0817444324493408,0.17492374777793884,1.6438322067260742,-0.7995414137840271,0.7782782316207886,1.4212833642959595,-0.06866428256034851,0.4195164144039154,1.413718581199646,0.07281206548213959,0.7421318292617798,2.454212188720703,-0.23763053119182587,0.3947262465953827,2.4600327014923096,-0.13827583193778992,0.7013604640960693,3.396364450454712,0.4318353235721588,0.39142677187919617,3.444484233856201,0.20624807476997375,0.7070968151092529,3.5306851863861084,0.47332048416137695,0.39776575565338135,3.583878517150879,0.21327193081378937,0.6268833875656128,3.7437987327575684,-0.18006838858127594,0.43140682578086853,3.7936058044433594,-0.5378537178039551
3.244,side_lunge,0.49567466974258423,0.10656405240297318,-1.710105299949646,0.5281302332878113,-0.04084805026650429,-1.746316909790039,0.557503342628479,-0.04815273731946945,-1.7460181713104248,0.588273823261261,-0.05144446715712547,-1.7464689016342163,0.4637545943260193,-0.0329168364405632,-1.6971490383148193,0.4440286159515381,-0.03666108101606369,-1.6974351406097412,0.4239617884159088,-0.042465098202228546,-1.6984373331069946,0.6456189751625061,-0.08779975771903992,-1.4837863445281982,0.4293098449707031,-0.11550985276699066,-1.23760986328125,0.5494798421859741,0.18408314883708954,-1.5707736015319824,0.47728437185287476,0.17296180129051208,-1.5013160705566406,0.8541971445083618,0.21855740249156952,-1.0389111042022705,0.3232123851776123,0.2576398551464081,-0.7353511452674866,0.9811223149299622,1.0681458711624146,-1.026533842086792,0.19676834344863892,0.9474238753318787,-0.4499545097351074,0.5654728412628174,1.0682703256607056,-1.1790804862976074,0.14539512991905212,1.5842750072479248,-0.8097547292709351,0.42953044176101685,1.0659008026123047,-1.2566726207733154,0.10170511156320572,1.7867224216461182,-0.9019014239311218,0.4067094922065735,0.9357179403305054,-1.184449553489685,0.13994480669498444,1.7572542428970337,-0.9993714094161987,0.4384453296661377,0.9154231548309326,-1.1457637548446655,0.16900750994682312,1.6724708080291748,-0.8616054654121399,0.774290144443512,1.4296705722808838,-0.0721755176782608,0.4165472984313965,1.4160938262939453,0.07642026990652084,0.7308611273765564,2.4676947593688965,-0.27276331186294556,0.3874726891517639,2.4616122245788574,-0.14870312809944153,0.6802065968513489,3.410665512084961,0.3734571635723114,0.3763003349304199,3.4490606784820557,0.16892600059509277,0.6848226189613342,3.5453593730926514,0.41495436429977417,0.38171035051345825,3.589189052581787,0.1753932535648346,0.6041666269302368,3.7537803649902344,-0.2277228832244873,0.41130271553993225,3.798914909362793,-0.5531066060066223
3.3846,side_lunge,0.4954947829246521,0.10587836056947708,-1.6734249591827393,0.5283514261245728,-0.040111105889081955,-1.7078529596328735,0.5580371022224426,-0.046736717224121094,-1.7076276540756226,0.5891267657279968,-0.04972054064273834,-1.708081841468811,0.46376094222068787,-0.034354474395513535,-1.660173773765564,0.44391098618507385,-0.03904173523187637,-1.6604549884796143,0.42367029190063477,-0.04553816467523575,-1.6615015268325806,0.64659583568573,-0.08528673648834229,-1.445736050605774,0.4303790032863617,-0.11730381846427917,-1.2065222263336182,0.5489782094955444,0.18660464882850647,-1.534179449081421,0.4769388735294342,0.17205078899860382,-1.4667465686798096,0.8540253639221191,0.22120529413223267,-1.0205963850021362,0.32119253277778625,0.25649493932724,-0.7179820537567139,0.9797884225845337,1.0477246046066284,-1.026329755783081,0.19609947502613068,0.9475025534629822,-0.4587532579898834,0.5625656843185425,1.0762739181518555,-1.1989299058914185,0.12772586941719055,1.6075307130813599,-0.8212153315544128,0.4291134774684906,1.0697988271713257,-1.2731120586395264,0.07741975784301758,1.814866304397583,-0.9169676899909973,0.4075548052787781,0.9404631853103638,-1.2001192569732666,0.11704627424478531,1.7910128831863403,-1.0124318599700928,0.4399077296257019,0.9189033508300781,-1.1653969287872314,0.1501387059688568,1.7041308879852295,-0.8738435506820679,0.7711935043334961,1.419840693473816,-0.07924897968769073,0.4143734574317932,1.4030250310897827,0.08344702422618866,0.7275084257125854,2.458395481109619,-0.3406200408935547,0.37712499499320984,2.4445512294769287,-0.21827885508537292,0.6724920272827148,3.3972628116607666,0.2820620834827423,0.3748857378959656,3.4413259029388428,0.09642433375120163,0.6749500036239624,3.5311224460601807,0.3247072398662567,0.38062891364097595,3.5810983180999756,0.10167034715414047,0.5948687791824341,3.741072654724121,-0.3020640015602112,0.40745896100997925,3.788038492202759,-0.6273950338363647
3.4971,side_lunge,0.49518710374832153,0.10602777451276779,-1.5893820524215698,0.5282895565032959,-0.038620661944150925,-1.6243317127227783,0.5579684972763062,-0.04554911330342293,-1.6239629983901978,0.5888427495956421,-0.04891981557011604,-1.6245371103286743,0.46375760436058044,-0.03365058824419975,-1.5783751010894775,0.4439310133457184,-0.03860539197921753,-1.5785106420516968,0.42383885383605957,-0.0450860932469368,-1.5794708728790283,0.6464754939079285,-0.08367049694061279,-1.3801119327545166,0.43164747953414917,-0.11597442626953125,-1.146166205406189,0.548358142375946,0.1867743581533432,-1.4605566263198853,0.4768694341182709,0.17196272313594818,-1.3940709829330444,0.8534820675849915,0.22268766164779663,-0.9665956497192383,0.32127800583839417,0.25631585717201233,-0.694701075553894,0.977855384349823,0.9937317967414856,-0.9229863882064819,0.19615209102630615,0.9449223875999451,-0.3907563090324402,0.5638941526412964,1.0770601034164429,-1.0043820142745972,0.12877002358436584,1.6129258871078491,-0.6825594305992126,0.42957910895347595,1.0780702829360962,-1.0531188249588013,0.08193797618150711,1.8189061880111694,-0.7557464838027954,0.4078048765659332,0.9488837122917175,-0.9804874658584595,0.12013791501522064,1.7966827154159546,-0.844698429107666,0.4438687264919281,0.9229249954223633,-0.9693554639816284,0.1519075334072113,1.7115025520324707,-0.7292701601982117,0.7712737321853638,1.4142537117004395,-0.07343731075525284,0.4142952561378479,1.3936222791671753,0.07760350406169891,0.7275105714797974,2.4612770080566406,-0.12622715532779694,0.3778121769428253,2.4496755599975586,-0.050874583423137665,0.6778321266174316,3.4066805839538574,0.47481685876846313,0.3764789402484894,3.4433810710906982,0.2427370250225067,0.6848083138465881,3.544980525970459,0.5114001035690308,0.3827515244483948,3.5835585594177246,0.2461642473936081,0.6007832288742065,3.74448299407959,-0.11383621394634247,0.4100201725959778,3.797524929046631,-0.47917309403419495
3.6393,side_lunge,0.49342554807662964,0.09669865667819977,-1.6250959634780884,0.5261549353599548,-0.04510125517845154,-1.6637516021728516,0.5552580952644348,-0.052375428378582,-1.6635558605194092,0.5857862830162048,-0.055999740958213806,-1.6640608310699463,0.4628472328186035,-0.03770780190825462,-1.6130714416503906,0.44323182106018066,-0.04119754210114479,-1.613455057144165,0.4233199954032898,-0.046287283301353455,-1.61459481716156,0.6447813510894775,-0.08605070412158966,-1.4271481037139893,0.43320900201797485,-0.11485832184553146,-1.176372766494751,0.5460374355316162,0.17412465810775757,-1.497609257698059,0.47646450996398926,0.16589318215847015,-1.4264194965362549,0.8522751927375793,0.2218858152627945,-0.9968722462654114,0.3234125077724457,0.2564786374568939,-0.7081689238548279,0.9773429036140442,0.9658759236335754,-0.9754376411437988,0.20478662848472595,0.9387470483779907,-0.424203485250473,0.572402834892273,1.0757360458374023,-1.0699483156204224,0.11952759325504303,1.619433879852295,-0.7286471128463745,0.4309735894203186,1.0714833736419678,-1.1291005611419678,0.06635732203722,1.822554349899292,-0.8105974197387695,0.4093964695930481,0.9526529312133789,-1.063675880432129,0.10325835645198822,1.8089005947113037,-0.9134133458137512,0.44781604409217834,0.9262871742248535,-1.0394799709320068,0.1386812925338745,1.7252683639526367,-0.7826895713806152,0.7712357640266418,1.400097370147705,-0.062428027391433716,0.4176412522792816,1.385706901550293,0.06610401719808578,0.7404081225395203,2.414163112640381,-0.2300126552581787,0.3879035413265228,2.430804491043091,-0.18995602428913116,0.698431670665741,3.3659281730651855,0.357258141040802,0.3983370065689087,3.424753189086914,0.0832313597202301,0.7041726112365723,3.5028741359710693,0.3945182263851166,0.40675848722457886,3.5637309551239014,0.08583630621433258,0.6292054057121277,3.7073800563812256,-0.22252102196216583,0.4396131932735443,3.7748498916625977,-0.6227675676345825
3.7403,side_lunge,0.4930240213871002,0.09458828717470169,-1.6883691549301147,0.5257571339607239,-0.046561069786548615,-1.723426103591919,0.5547140836715698,-0.05396856740117073,-1.7232624292373657,0.5851980447769165,-0.05762350186705589,-1.723779320716858,0.4627199172973633,-0.03838011994957924,-1.672922134399414,0.44312208890914917,-0.04160420224070549,-1.6733242273330688,0.4231991767883301,-0.046476125717163086,-1.6744400262832642,0.6446211338043213,-0.0864589661359787,-1.4655290842056274,0.43459686636924744,-0.11456137895584106,-1.2133643627166748,0.5455230474472046,0.17121054232120514,-1.5517213344573975,0.47640353441238403,0.16415943205356598,-1.4804507493972778,0.8519607782363892,0.22179628908634186,-1.0225374698638916,0.3243960738182068,0.2568066120147705,-0.7191532850265503,0.9749091863632202,0.9425703883171082,-1.014525055885315,0.20418235659599304,0.9368491172790527,-0.4405612051486969,0.5733236074447632,1.0747075080871582,-1.1682393550872803,0.12007254362106323,1.6020649671554565,-0.788480818271637,0.4308525025844574,1.0759210586547852,-1.2366989850997925,0.06850700825452805,1.8040001392364502,-0.8813092112541199,0.40915775299072266,0.9579325318336487,-1.182511568069458,0.10644956678152084,1.7819017171859741,-0.9798828363418579,0.447849839925766,0.9301409125328064,-1.1422287225723267,0.14019203186035156,1.6992344856262207,-0.8418943285942078,0.771562933921814,1.3988758325576782,-0.06412292271852493,0.41793093085289,1.3856788873672485,0.06766603887081146,0.746579110622406,2.403764247894287,-0.26319676637649536,0.38974708318710327,2.41123628616333,-0.20198550820350647,0.7031909823417664,3.3424015045166016,0.3951804041862488,0.4016515612602234,3.4001529216766357,0.13708367943763733,0.7082594037055969,3.4763762950897217,0.4374135136604309,0.41037845611572266,3.5413691997528076,0.14663133025169373,0.6326524615287781,3.691638231277466,-0.19006595015525818,0.4419320523738861,3.747856616973877,-0.5699754357337952
