timestamp,action,confidence,fps
1778649353.0704088,pushup,0.5223,21.08
1778649353.126401,pushup,0.5361,17.72
1778649353.1767209,pushup,0.5415,20.2
1778649353.2223845,pushup,0.536,21.57
1778649353.2735174,pullup,0.572,19.69
1778649353.323025,pullup,0.5676,19.83
1778649353.3694098,pullup,0.7133,21.81
1778649353.41505,pushup,0.5106,22.14
1778649353.4691775,pushup,0.4326,18.38
1778649353.5266721,pushup,0.404,17.44
1778649353.5747316,squat,0.9692,20.26
1778649353.6225471,squat,0.9633,21.23
1778649353.674636,squat,0.9661,18.96
1778649353.7230523,squat,0.9667,21.15
1778649353.7717571,squat,0.9667,20.05
1778649353.820711,squat,0.9672,20.54
1778649353.8670206,squat,0.9633,22.17
1778649353.928343,squat,0.9613,16.37
1778649353.9776945,squat,0.9613,20.29
1778649354.0326626,squat,0.9714,18.05
1778649354.07198,squat,0.9714,24.76
1778649354.1255693,squat,0.9664,18.92
1778649354.1873457,squat,0.9664,16.29
1778649354.2361813,squat,0.9623,20.62
1778649354.2810137,squat,0.9623,22.05
1778649354.3289578,squat,0.9646,20.91
1778649354.3712006,squat,0.9646,23.26
1778649354.4152107,squat,0.9623,22.81
1778649354.4621985,squat,0.9703,21.56
1778649354.5160809,squat,0.9619,18.35
1778649354.5650914,squat,0.9627,20.79
1778649354.6100283,squat,0.9713,21.67
1778649354.6674259,squat,0.9816,17.78
1778649354.713037,squat,0.9801,21.5
1778649354.7611988,squat,0.9824,21.11
1778649354.8130803,squat,0.9755,19.24
1778649354.8631704,squat,0.9507,20.06
1778649354.9070542,pushup,0.4338,22.22
1778649354.954699,pushup,0.6978,20.58
1778649355.0053203,pushup,0.862,20.22
1778649355.0574949,pushup,0.9199,19.08
1778649355.1209404,pushup,0.9212,16.04
1778649355.1691933,pushup,0.9166,20.34
1778649355.2162066,pushup,0.9259,21.15
1778649355.2603214,pushup,0.9112,22.99
1778649355.303883,pushup,0.9311,22.79
1778649355.3457906,pushup,0.9311,23.77
1778649355.398915,pushup,0.9308,18.93
1778649355.4443274,pushup,0.8956,22.12
1778649355.495137,pushup,0.844,19.78
1778649355.54045,pushup,0.8444,21.86
1778649355.599343,pushup,0.8483,17.17
1778649355.6504443,pushup,0.8656,19.57
1778649355.6996574,pushup,0.8329,19.88
1778649355.7483485,pushup,0.8409,21.17
1778649355.794218,pushup,0.8276,21.46
1778649355.8389351,pushup,0.8276,22.02
