model,accuracy,macro_f1,weighted_f1
transformer,0.5757575757575758,0.5076923076923077,0.5283605283605284
svm,0.6666666666666666,0.5994227994227994,0.6301106301106302
xgb,0.9090909090909091,0.9083982683982684,0.9090909090909091
